C_ID
ABI
ABIN
ABL
ABRT
ADE
ADR
AF
AGN
AGSB
AGST
AKFB
AKR
ALA
ALB
ALD
ALF
ALL
ALM
ALV
AME
AMER
AMG
AMH
ANCH
ANDE
ANDR
ANDW
ANG
ANT
APP
AQU
ARI
ARIZ
ARK
ARMY
ARTS
ASBU
ASHL
ASS
ATCH
AUAB
AUB
AUBU
AUGS
AUGU
AURO
AUS
AVE
AZ
AZUS
BABS
BAK
BAL
BALD
BALL
BARD
BART
BATE
BAY
BCK
BCLF
BCLK
BCOL
BEA
BELL
BEM
BENE
BENT
BER
BERE
BERK
BETH
BGSU
BGTN
BING
BIOL
BIR
BIRM
BKPT
BLA
BLFT
BLMT
BLO
BLOO
BLRM
BLT
BLUE
BMAB
BNDC
BNNG
BNVT
BOIS
BOS
BOST
BOWD
BRAD
BRCH
BRDF
BRDG
BRDS
BRE
BRI
BRIG
BRKP
BRNA
BRND
BRO
BRRY
BRY
BRYA
BTHN
BUC
BUE
BUF
BUT
BYU
BYUI
CAB
CAL
CALC
CALD
CALT
CALV
CAMP
CAN
CAP
CAPC
CAR
CARR
CARS
CART
CAS
CAT
CATL
CAZ
CBRS
CCHN
CCIA
CCOL
CCON
CCRS
CCST
CED
CEDA
CEN
CENT
CESF
CFTN
CGRD
CHA
CHAR
CHAT
CHE
CHLT
CHR
CID
CIN
CITA
CLA
CLAR
CLBY
CLCL
CLCS
CLE
CLEV
CLI
CLPT
CLRK
CLST
CLUT
CLWD
CMAR
CMBA
CMBM
CMBU
CMCK
CMEL
CMPB
CMSU
CND
CNDM
CNEW
CNLA
CNNC
CNT
CNWP
COAS
COE
COK
COL
COLD
COLG
COLO
CON
CONC
CONL
CONN
COOP
COR
CORN
CORT
COVE
CPLY
CPP
CRE
CRKE
CRKS
CRL
CRRL
CSBN
CSCT
CSEB
CSEZ
CSFE
CSJO
CSLA
CSLC
CSMN
CSNR
CSRS
CSSB
CSSC
CTAM
CTHM
CTRL
CTWB
CUL
CUM
CVRS
CWAS
CWES
CWRU
DAL
DAN
DAR
DAV
DAY
DEF
DEL
DELT
DEN
DEP
DEPA
DET
DICK
DIL
DKST
DNSN
DOA
DOAN
DOM
DOR
DORD
DOW
DRA
DRE
DREX
DRU
DUBQ
DUK
DUQU
DWEB
D'Y
EAR
EAS
EAST
ECAR
ECK
ECON
EIL
ELI
ELM
ELMH
ELMS
ELO
ELON
EMB
EMBR
EMDB
EMER
EMHN
EMNN
EMO
EMOR
EMP
ENDI
ERS
ETBU
ETSU
EUR
EVAN
EVE
FAGM
FAI
FAIR
FARM
FATL
FAY
FER
FGCU
FISK
FIT
FITC
FIU
FKLO
FL
FLA
FLO
FLST
FMAC
FMRS
FON
FPAC
FRAN
FRDM
FRDN
FREE
FRKL
FRPC
FRST
FRTL
FUR
GAN
GAR
GASO
GAST
GCOL
GCRT
GEN
GET
GFOX
GMAS
GMT
GNSO
GOL
GON
GOR
GOS
GOU
GRA
GRCE
GRE
GRI
GRLD
GRNS
GRO
GRVL
GTCH
GTWC
GTWK
GTWN
GUI
GUS
GWAS
GWY
HAM
HAML
HAMP
HAN
HARD
HART
HAS
HAVE
HAW
HEN
HGTN
HIGH
HIL
HIR
HLKE
HMUD
HNTD
HNTT
HOB
HOBA
HOF
HOL
HOLL
HOO
HOP
HOU
HOWA
HRCS
HRTW
HRVD
HSIM
HSYD
HTVL
HUMB
HUNT
HUR
HUS
ID
IIT
ILBD
ILCL
ILST
ILWS
IMM
IMMA
INC
IND
INDP
INPI
INST
ION
IOW
IOWA
IPUI
ITH
IWES
JBWN
JCRL
JER
JHOP
JLRD
JMST
JMU
JNCL
JNFS
JOH
JUD
JUN
KALA
KAN
KAST
KEE
KENT
KENY
KETT
KEU
KING
KNGS
KNO
KWES
KYWS
LA
LACL
LAF
LAG
LAKE
LAMR
LAN
LARC
LASL
LATC
LAW
LAWR
LBSU
LCHI
LCLN
LCRK
LE 
LEB
LEH
LEN
LES
LET
LEWI
LEWS
LIBE
LINF
LIPS
LIV
LKLD
LMBT
LMD
LMMU
LMT
LNCH
LNDN
LNFL
LNO
LOC
LON
LOR
LOU
LOUI
LOYC
LOYO
LSU
LUT
LVRN
LYC
LYN
LYNN
LYON
MAC
MACM
MAL
MANC
MANH
MANM
MAR
MARI
MARL
MARQ
MART
MARY
MAS
MASS
MAST
MAY
MBLD
MBRY
MCDA
MCHS
MCK
MCLA
MCLR
MCM
MCP
MD
MDIC
ME
MEM
MEPI
MERC
MESA
MFLC
MHSE
MHST
MHVL
MIA
MIAM
MIAO
MICH
MID
MIDB
MIDD
MIL
MILL
MIN
MINN
MISE
MISS
MIST
MIZ
MLGN
MLKU
MLLS
MLRV
MLSP
MMAR
MMRY
MMST
MMTU
MNCI
MNDT
MNMK
MNMO
MOBL
MON
MONM
MONT
MOO
MORL
MORS
MOSL
MOST
MOUN
MRCD
MRCY
MRDT
MRGS
MRMK
MRTA
MRVL
MRVN
MRVU
MRWS
MRYM
MSBO
MSCO
MSDT
MSHL
MSLW
MSMC
MSMR
MSOE
MSSC
MSSH
MSST
MTAN
MTCH
MTNA
MTSC
MTSJ
MTSM
MTST
MTSU
MTSV
MTUN
MTVL
MUH
MUR
MUS
MUST
MUWM
MVCL
MVSL
MWAS
MWSH
NASC
NAT
NAVY
NAZ
NAZR
NBRY
NCAT
NCCL
NCO
NCST
ND
NDST
NDU
NE
NEB
NEBR
NENG
NEWF
NEWS
NHU
NIA
NIU
NJIT
NKY
NMMT
NMST
NMU
NOLA
NORB
NOT
NOVA
NPLZ
NPRK
NRCH
NTX
NW
NWC
NWES
NWIA
NWMS
NWNZ
NWSP
NYBK
NYBR
NYCC
NYES
NYHN
NYHT
NYIT
NYJJ
NYLH
NYNY
NYQN
NYSI
NYU
OAK
OBE
OCC
OGL
OHIO
OHNO
OHST
OHWS
OKBP
OKCR
OKCU
OKLA
OKST
OLAF
OLD 
OMHA
ONTA
ORAL
ORE
ORIT
ORST
OSWG
OTT
OTTE
OUA
OUR
OWSG
OZRK
PAC
PACE
PACI
PACL
PACU
PAUL
PEM
PEN
PENN
PEP
PER
PFE
PHIL
PHLP
PIE
PIK
PIT
PITT
PLAT
PMNA
POIN
POL
POMO
PORT
POTS
PPRK
PRA
PRAT
PRCH
PRE
PRI
PRO
PSU
PSUP
PTLM
PTST
PUGS
PUR
PURC
PURD
QNCY
QNPC
QUE
QUEE
QUIN
RAD
RAM
RAND
