,C_ID,College,Stadium,Capacity
95,ARMY,Army,Michie Stadium,0.3717437570282804
96,JKST,Jackson State,Mississippi Veterans Memorial Stadium,0.5621880837538684
97,WVU,West Virginia,Mountaineer Field at Milan Puskar Stadium,0.5576156355424207
98,NAVY,Navy,Navy–Marine Corps Memorial Stadium,0.31598219347403833
99,TNST,Tennessee State,Nissan Stadium,0.6425869648051598
100,OHST,Ohio State,Ohio Stadium,0.9551955836841665
101,ORST,Oregon State,Reser Stadium,0.245415934796145
102,RICE,Rice,Rice Stadium,0.4367989145082295
103,UCLA,UCLA,Rose Bowl,0.8230871460302414
104,PUR,Purdue,Ross–Ade Stadium,0.5319281419317664
105,EMU,Eastern Michigan,Rynearson Stadium,0.2806665365563517
106,RUT,Rutgers,SHI Stadium,0.4874861757790355
107,STAN,Stanford,Stanford Stadium,0.4646796962853505
108,UTEP,Texas-El Paso,Sun Bowl Stadium,0.478620087173911
109,AZST,Arizona State,Sun Devil Stadium,0.5263333983884908
110,WAKE,Wake Forest,Truist Field at Wake Forest,0.2927482086597708
111,UNM,New Mexico,University Stadium,0.36453192814193175
112,VBLT,Vanderbilt,Vanderbilt Stadium,0.36979210230388193
113,TROY,Troy,Veterans Memorial Stadium,0.2825438425293445
114,DUKE,Duke,Wallace Wade Stadium,0.3717809314039832
115,WYO,Wyoming,War Memorial Stadium,0.28048995827176326
116,NFST,Norfolk State,"William ""Dick"" Price Stadium",0.27880781777121033
117,YALE,Yale,Yale Bowl,0.5710541723589929
