,Institution,C_ID,% Fraternity,% Sorority,Fraternity,Sorority
114,Lafayette College,LAF,0.17,0.26,1,1
115,Lake Forest College,LAKE,0.1,0.11,1,1
116,La Salle University,LASL,0,0,1,1
117,Lawrence University,LAW,0.08,0.08,1,1
118,Loyola University Chicago,LCHI,0.08,0.15,1,1
119,Lehigh University,LEH,0.25,0.34,1,1
120,Loyola Marymount University,LMT,0.18,0.24,1,1
121,University of Louisville,LOU,0.18,0.14,1,1
122,Lycoming College,LYC,0.11,0.17,1,1
123,Macalester College,MAC,0,0,0,0
124,Manhattan College,MANH,0.02,0.02,1,1
125,Marist College,MAR,0.03,0.03,1,1
126,Marquette University,MARQ,0.15,0.15,1,1
127,Massachusetts Institute of Technology,MAS,0.39,0.26,1,1
128,Montclair State University,MCLR,0,0,1,1
129,"Cal Poly, Pomona",CPP,0,0,0,0
130,Morehouse College,MHSE,0.2,0,1,0
131,University of Miami,MIA,0.16,0.17,1,1
132,"Cal Poly, San Luis Obispo",CPLY,0.06,0.09,0,0
133,Michigan State University,MIST,0.11,0.12,1,1
134,Millsaps College,MLSP,0.51,0.47,1,1
135,Merrimack College,MRMK,0.06,0.08,1,1
136,Moravian College,MRVN,0.14,0.21,1,1
137,Marshall University,MSHL,0.07,0.07,1,1
138,Milwaukee School of Engineering,MSOE,0.05,0.1,1,1
139,Messiah College,MSSH,0,0,0,0
140,Mississippi State University,MSST,0.15,0.18,1,1
141,Michigan Technological University,MTCH,0.09,0.1,1,1
142,Montana State University,MTST,0.02,0.02,1,1
143,Muhlenberg College,MUH,0.1,0.06,1,1
144,Murray State University,MUR,0.17,0.19,1,1
145,Northern Arizona University,NAZ,0.08,0.11,1,1
146,University of Northern Colorado,NCO,0.07,0.08,1,1
147,University of Notre Dame,ND,0,0,0,0
148,University of North Dakota,NDU,0.12,0.12,1,1
149,Northeastern University,NE,0.1,0.18,1,1
150,University of New Hampshire,NHU,0.12,0.16,1,1
151,Niagara University,NIA,0,0,1,1
152,New Jersey Institute of Technology,NJIT,0.05,0.05,1,1
153,Norwich University,NRCH,0,0,0,0
154,University of North Texas,NTX,0.01,0.04,1,1
155,Northwestern University,NW,0.23,0.16,1,1
156,New York University,NYU,0.03,0.07,1,1
157,Oakland University,OAK,0.03,0.02,1,1
158,Oberlin College,OBE,0,0,0,0
159,Occidental College,OCC,0,0,1,1
160,California Institute of Technology,CALT,0.02,0.01,1,1
161,Ohio Wesleyan University,OHWS,0.3,0.27,1,1
162,University of Oklahoma,OKLA,0.3,0.37,1,1
163,Oklahoma State University,OKST,0.2,0.25,1,1
164,University of Oregon,ORE,0.15,0.17,1,1
165,"California State University, Fresno",FRST,0.04,0.04,1,1
166,Pepperdine University,PEP,0.14,0.28,1,1
167,Pitzer College,PIT,0,0,0,0
168,SUNY College at Plattsburgh,PLAT,0.15,0.15,1,1
169,"California State University, Fullerton",CFTN,0.01,0.02,1,1
170,SUNY College at Potsdam,POTS,0.03,0.07,1,1
171,Presbyterian College,PRE,0.33,0.38,1,1
172,Princeton University,PRI,0,0,0,0
173,Providence College,PRO,0,0,0,0
174,University of Puget Sound,PUGS,0.25,0.23,1,1
175,Ramapo College of New Jersey,RAM,0.05,0.08,1,1
176,Reed College,REE,0,0,0,0
177,Rensselaer Polytechnic Institute,REN,0.16,0.12,1,1
178,Rhodes College,RHO,0.26,0.38,1,1
179,University of Rhode Island,RI,0.16,0.16,1,1
180,University of Richmond,RICH,0.2,0.18,1,1
181,Ripon College,RIP,0.31,0.27,1,1
182,Randolph-Macon College,RMAC,0.17,0.28,1,1
183,Roanoke College,ROA,0.18,0.16,1,1
184,"California State University, Long Beach",LBSU,0,0,0,0
185,Roger Williams University,ROG,0,0,0,0
186,Rollins College,ROL,0.3,0.34,1,1
187,Sacred Heart University,SAC,0.21,0.44,1,1
